seller_name,seller_sku,daily_sales_sku,sellerboard_date
banbaloo,5Y-8TNB-GV76,388.07,2020-03-05
banbaloo,5Y-8TNB-GV76,220.32,2020-03-06
banbaloo,5Y-8TNB-GV76,110.88,2020-03-07
banbaloo,5Y-8TNB-GV76,303.33,2020-03-08
banbaloo,5Y-8TNB-GV76,193.58,2020-03-09
banbaloo,5Y-8TNB-GV76,430.08,2020-03-10
banbaloo,5Y-8TNB-GV76,430.08,2020-03-11
banbaloo,5Y-8TNB-GV76,187.29,2020-03-12
banbaloo,5Y-8TNB-GV76,214.94,2020-03-13
banbaloo,5Y-8TNB-GV76,80.64,2020-03-14
banbaloo,5Y-8TNB-GV76,161.28,2020-03-15
banbaloo,5Y-8TNB-GV76,125.79,2020-03-16
banbaloo,5Y-8TNB-GV76,325.96,2020-03-17
banbaloo,5Y-8TNB-GV76,224.33,2020-03-18
banbaloo,5Y-8TNB-GV76,176.4,2020-03-19
banbaloo,5Y-8TNB-GV76,100.8,2020-03-20
banbaloo,5Y-8TNB-GV76,201.6,2020-03-21
banbaloo,5Y-8TNB-GV76,302.4,2020-03-22
banbaloo,5Y-8TNB-GV76,302.67,2020-03-23
banbaloo,5Y-8TNB-GV76,326.77,2020-03-24
banbaloo,5Y-8TNB-GV76,481.28,2020-03-25
banbaloo,5Y-8TNB-GV76,376.3,2020-03-26
banbaloo,5Y-8TNB-GV76,301.99,2020-03-27
banbaloo,5Y-8TNB-GV76,327.59,2020-03-28
banbaloo,5Y-8TNB-GV76,226.79,2020-03-29
banbaloo,5Y-8TNB-GV76,226.37,2020-03-30
banbaloo,5Y-8TNB-GV76,151.2,2020-03-31
banbaloo,5Y-8TNB-GV76,352.79,2020-04-01
banbaloo,5Y-8TNB-GV76,276.76,2020-04-02
banbaloo,5Y-8TNB-GV76,277.2,2020-04-03
banbaloo,5Y-8TNB-GV76,252,2020-04-04
banbaloo,5Y-8TNB-GV76,100.39,2020-04-05
banbaloo,5Y-8TNB-GV76,322.87,2020-04-06
banbaloo,5Y-8TNB-GV76,176.4,2020-04-07
banbaloo,5Y-8TNB-GV76,175.57,2020-04-08
banbaloo,5Y-8TNB-GV76,75.6,2020-04-09
banbaloo,5Y-8TNB-GV76,325.96,2020-04-10
banbaloo,5Y-8TNB-GV76,126,2020-04-11
banbaloo,5Y-8TNB-GV76,125.08,2020-04-12
banbaloo,5Y-8TNB-GV76,300.76,2020-04-13
banbaloo,5Y-8TNB-GV76,452.84,2020-04-14
banbaloo,5Y-8TNB-GV76,327.6,2020-04-15
banbaloo,5Y-8TNB-GV76,150.78,2020-04-16
banbaloo,5Y-8TNB-GV76,201.13,2020-04-17
banbaloo,5Y-8TNB-GV76,451.55,2020-04-18
banbaloo,5Y-8TNB-GV76,351.51,2020-04-19
banbaloo,5Y-8TNB-GV76,403.2,2020-04-20
banbaloo,5Y-8TNB-GV76,252,2020-04-21
banbaloo,5Y-8TNB-GV76,301.54,2020-04-22
banbaloo,5Y-8TNB-GV76,218.36,2020-04-23
banbaloo,5Y-8TNB-GV76,291.64,2020-04-24
banbaloo,5Y-8TNB-GV76,245.67,2020-04-25
banbaloo,5Y-8TNB-GV76,301.56,2020-04-26
banbaloo,5Y-8TNB-GV76,276.79,2020-04-27
banbaloo,5Y-8TNB-GV76,252,2020-04-28
banbaloo,5Y-8TNB-GV76,277.19,2020-04-29
banbaloo,5Y-8TNB-GV76,300.76,2020-04-30
banbaloo,5Y-8TNB-GV76,401.64,2020-05-01
banbaloo,5Y-8TNB-GV76,252,2020-05-02
banbaloo,5Y-8TNB-GV76,327.56,2020-05-03
banbaloo,5Y-8TNB-GV76,326.32,2020-05-04
banbaloo,5Y-8TNB-GV76,402.34,2020-05-05
banbaloo,5Y-8TNB-GV76,376.28,2020-05-06
banbaloo,5Y-8TNB-GV76,302.39,2020-05-07
banbaloo,5Y-8TNB-GV76,125.18,2020-05-08
banbaloo,5Y-8TNB-GV76,226.8,2020-05-09
banbaloo,5Y-8TNB-GV76,301.98,2020-05-10
banbaloo,5Y-8TNB-GV76,402.96,2020-05-11
banbaloo,5Y-8TNB-GV76,476.22,2020-05-12
banbaloo,5Y-8TNB-GV76,704.01,2020-05-13
banbaloo,5Y-8TNB-GV76,402.5,2020-05-14
banbaloo,5Y-8TNB-GV76,301.57,2020-05-15
banbaloo,5Y-8TNB-GV76,252,2020-05-16
banbaloo,5Y-8TNB-GV76,553.06,2020-05-17
banbaloo,5Y-8TNB-GV76,427.12,2020-05-18
banbaloo,5Y-8TNB-GV76,352.39,2020-05-19
banbaloo,5Y-8TNB-GV76,252,2020-05-20
banbaloo,5Y-8TNB-GV76,277.2,2020-05-21
banbaloo,5Y-8TNB-GV76,327.6,2020-05-22
banbaloo,5Y-8TNB-GV76,325.95,2020-05-23
banbaloo,5Y-8TNB-GV76,1006.74,2020-05-24
banbaloo,5Y-8TNB-GV76,756,2020-05-25
banbaloo,5Y-8TNB-GV76,400.68,2020-05-26
banbaloo,5Y-8TNB-GV76,326.75,2020-05-27
banbaloo,5Y-8TNB-GV76,552.32,2020-05-28
banbaloo,5Y-8TNB-GV76,427.46,2020-05-29
banbaloo,5Y-8TNB-GV76,351.13,2020-05-30
banbaloo,5Y-8TNB-GV76,729.09,2020-05-31
banbaloo,5Y-8TNB-GV76,576.26,2020-06-01
banbaloo,5Y-8TNB-GV76,629.37,2020-06-02
banbaloo,5Y-8TNB-GV76,729.98,2020-06-03
banbaloo,5Y-8TNB-GV76,401.94,2020-06-04
banbaloo,5Y-8TNB-GV76,629.99,2020-06-05
banbaloo,5Y-8TNB-GV76,779.51,2020-06-06
banbaloo,5Y-8TNB-GV76,678.76,2020-06-07
banbaloo,5Y-8TNB-GV76,831.59,2020-06-08
banbaloo,5Y-8TNB-GV76,603.15,2020-06-09
banbaloo,5Y-8TNB-GV76,629.14,2020-06-10
